positionID,maternalID,paternalID,position,row,block,Germ,flw,total.pods,total.pods.collected,totalseeds,cohort,year,seedpool
155,88,124,11.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
156,177,138,12.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
157,177,138,12.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
158,177,138,13,212,2A,0,0,0,0,0,greenhouse,2015,NA
159,177,138,13.1,212,2A,1,1,0,0,0,greenhouse,2015,NA
160,177,138,13.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
161,51,1,14.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
162,51,1,14.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
163,51,1,15,212,2A,0,0,0,0,0,greenhouse,2015,NA
164,51,1,15.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
165,51,1,15.2,212,2A,1,1,5,2,8,greenhouse,2015,NA
166,153,36,16.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
167,153,36,16.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
168,153,36,17,212,2A,0,0,0,0,0,greenhouse,2015,NA
169,153,36,17.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
170,153,36,17.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
171,187,119,18.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
172,187,119,18.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
173,187,119,19,212,2A,0,0,0,0,0,greenhouse,2015,NA
174,187,119,19.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
175,187,119,19.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
176,78,112,20.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
177,78,112,20.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
178,78,112,21,212,2A,0,0,0,0,0,greenhouse,2015,NA
179,78,112,21.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
180,78,112,21.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
181,18,167,22.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
182,18,167,22.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
183,18,167,23,212,2A,0,0,0,0,0,greenhouse,2015,NA
184,18,167,23.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
185,18,167,23.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
186,203,130,24.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
187,203,130,24.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
188,203,130,25,212,2A,0,0,0,0,0,greenhouse,2015,NA
189,203,130,25.1,212,2A,1,1,0,0,0,greenhouse,2015,NA
190,203,130,25.2,212,2A,1,0,0,0,0,greenhouse,2015,NA
191,67,1,26.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
192,67,1,26.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
193,67,1,27,212,2A,0,0,0,0,0,greenhouse,2015,NA
194,67,1,27.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
195,67,1,27.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
196,97,60,28.8,212,2A,1,1,0,0,0,greenhouse,2015,NA
197,97,60,28.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
198,97,60,29,212,2A,0,0,0,0,0,greenhouse,2015,NA
199,97,60,29.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
200,97,60,29.2,212,2A,1,1,2,2,12,greenhouse,2015,NA
201,25,71,30.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
202,25,71,30.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
203,25,71,31,212,2A,0,0,0,0,0,greenhouse,2015,NA
204,25,71,31.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
205,25,71,31.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
206,52,126,32.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
207,52,126,32.9,212,2A,1,1,0,0,0,greenhouse,2015,NA
208,52,126,33,212,2A,0,0,0,0,0,greenhouse,2015,NA
209,52,126,33.1,212,2A,0,0,0,0,0,greenhouse,2015,NA
210,52,126,33.2,212,2A,0,0,0,0,0,greenhouse,2015,NA
211,165,81,34.8,212,2A,0,0,0,0,0,greenhouse,2015,NA
212,165,81,34.9,212,2A,0,0,0,0,0,greenhouse,2015,NA
